UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 Oct11 ?        00:04:27 /sbin/init splash
root         2     0  0 Oct11 ?        00:00:02 [kthreadd]
root         6     2  0 Oct11 ?        00:00:00 [mm_percpu_wq]
root         7     2  0 Oct11 ?        02:38:33 [ksoftirqd/0]
root         8     2  0 Oct11 ?        00:33:00 [rcu_sched]
root         9     2  0 Oct11 ?        00:00:00 [rcu_bh]
root        10     2  0 Oct11 ?        00:05:29 [migration/0]
root        11     2  0 Oct11 ?        00:00:05 [watchdog/0]
root        12     2  0 Oct11 ?        00:00:00 [cpuhp/0]
root        13     2  0 Oct11 ?        00:00:00 [cpuhp/1]
root        14     2  0 Oct11 ?        00:00:05 [watchdog/1]
root        15     2  0 Oct11 ?        00:04:24 [migration/1]
root        16     2  0 Oct11 ?        04:43:51 [ksoftirqd/1]
root        19     2  0 Oct11 ?        00:00:00 [cpuhp/2]
root        20     2  0 Oct11 ?        00:00:05 [watchdog/2]
root        21     2  0 Oct11 ?        00:05:35 [migration/2]
root        22     2  0 Oct11 ?        02:37:24 [ksoftirqd/2]
root        25     2  0 Oct11 ?        00:00:00 [kdevtmpfs]
root        26     2  0 Oct11 ?        00:00:00 [netns]
root        27     2  0 Oct11 ?        00:00:00 [rcu_tasks_kthre]
root        28     2  0 Oct11 ?        00:00:00 [kauditd]
root        32     2  0 Oct11 ?        00:00:06 [khungtaskd]
root        33     2  0 Oct11 ?        00:00:00 [oom_reaper]
root        34     2  0 Oct11 ?        00:00:00 [writeback]
root        35     2  0 Oct11 ?        00:00:00 [kcompactd0]
root        36     2  0 Oct11 ?        00:00:00 [ksmd]
root        37     2  0 Oct11 ?        00:00:00 [khugepaged]
root        38     2  0 Oct11 ?        00:00:00 [crypto]
root        39     2  0 Oct11 ?        00:00:00 [kintegrityd]
root        40     2  0 Oct11 ?        00:00:00 [kblockd]
root        41     2  0 Oct11 ?        00:00:00 [ata_sff]
root        42     2  0 Oct11 ?        00:00:00 [md]
root        43     2  0 Oct11 ?        00:00:00 [edac-poller]
root        44     2  0 Oct11 ?        00:00:00 [devfreq_wq]
root        45     2  0 Oct11 ?        00:00:00 [watchdogd]
root        48     2  0 Oct11 ?        00:04:19 [kswapd0]
root        49     2  0 Oct11 ?        00:00:00 [kworker/u7:0]
root        50     2  0 Oct11 ?        00:00:00 [ecryptfs-kthrea]
root        92     2  0 Oct11 ?        00:00:00 [kthrotld]
root        93     2  0 Oct11 ?        00:00:00 [acpi_thermal_pm]
root        95     2  0 Oct11 ?        00:00:00 [scsi_eh_0]
root        96     2  0 Oct11 ?        00:00:00 [scsi_tmf_0]
root        97     2  0 Oct11 ?        00:00:00 [scsi_eh_1]
root        98     2  0 Oct11 ?        00:00:00 [scsi_tmf_1]
root       101     2  0 Oct11 ?        00:00:00 [ipv6_addrconf]
root       110     2  0 Oct11 ?        00:00:00 [kstrp]
root       127     2  0 Oct11 ?        00:00:00 [charger_manager]
root       190     2  0 Oct11 ?        00:00:00 [mpt_poll_0]
root       191     2  0 Oct11 ?        00:00:00 [mpt/0]
root       197     2  0 Oct11 ?        00:00:00 [scsi_eh_2]
root       198     2  0 Oct11 ?        00:00:00 [scsi_tmf_2]
root       199     2  0 Oct11 ?        00:00:00 [ttm_swap]
root       200     2  0 Oct11 ?        00:00:00 [irq/16-vmwgfx]
root       272     2  0 Oct11 ?        00:00:55 [jbd2/sda1-8]
root       273     2  0 Oct11 ?        00:00:00 [ext4-rsv-conver]
root       327     1  0 Oct11 ?        00:13:58 /lib/systemd/systemd-journald
root       329     2  0 Oct11 ?        00:00:00 [rpciod]
root       330     2  0 Oct11 ?        00:00:00 [xprtiod]
root       349     1  0 Oct11 ?        00:00:20 /lib/systemd/systemd-udevd
root       376     1  0 Oct11 ?        00:00:03 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root       452   713  0 Nov08 ?        00:00:00 /usr/sbin/CRON -f
root       473   713  0 Nov05 ?        00:00:00 /usr/sbin/CRON -f
root       475   473  0 Nov05 ?        00:00:00 /usr/sbin/CRON -f
root       479   452  0 Nov08 ?        00:00:00 /usr/sbin/CRON -f
root       621     1  0 Oct11 ?        00:00:00 /usr/bin/VGAuthService
systemd+   622     1  0 Oct11 ?        00:00:03 /lib/systemd/systemd-resolved
root       624     1  0 Oct11 ?        00:00:05 /sbin/rpcbind -f -w
systemd+   627     1  0 Oct11 ?        00:00:05 /lib/systemd/systemd-timesyncd
root       685     1  0 Oct11 ?        00:25:30 /usr/bin/vmtoolsd
syslog     693     1  0 Oct11 ?        00:01:28 /usr/sbin/rsyslogd -n
root       695     1  0 Oct11 ?        00:01:23 /usr/sbin/irqbalance --foreground
root       705     1  0 Oct11 ?        05:03:35 /usr/lib/accountsservice/accounts-daemon
root       713     1  0 Oct11 ?        00:00:06 /usr/sbin/cron -f
daemon     716     1  0 Oct11 ?        00:00:00 /usr/sbin/atd -f
root       728     1  0 Oct11 ?        00:00:58 /usr/lib/udisks2/udisksd
root       786     1  0 Oct11 ?        00:00:00 /usr/sbin/acpid
root       793     1  0 Oct11 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root       796     1  0 Oct11 ?        00:00:00 /usr/sbin/ModemManager --filter-policy=strict
root       799     1  0 Oct11 ?        00:01:57 /lib/systemd/systemd-logind
message+   802     1  0 Oct11 ?        00:07:25 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root       870   713  0 Nov14 ?        00:00:00 /usr/sbin/CRON -f
root       872   870  0 Nov14 ?        00:00:00 /usr/sbin/CRON -f
root       886     1  0 Oct11 ?        00:00:09 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root       887     1  0 Oct11 ?        00:00:02 /usr/sbin/NetworkManager --no-daemon
root       891   713  0 Nov14 ?        00:00:00 /usr/sbin/CRON -f
root       893   891  0 Nov14 ?        00:00:00 /usr/sbin/CRON -f
root       907     1  0 Oct11 ?        00:01:05 /usr/lib/policykit-1/polkitd --no-debug
avahi      942     1  0 Oct11 ?        00:00:17 avahi-daemon: running [cse01.local]
avahi      945   942  0 Oct11 ?        00:00:00 avahi-daemon: chroot helper
root      1050     1  0 Oct11 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root      1059   713  0 Nov07 ?        00:00:00 /usr/sbin/CRON -f
root      1061     1  0 Oct11 ?        00:01:51 /usr/sbin/sshd -D
root      1065     1  0 Oct11 ?        00:00:17 /usr/sbin/lightdm
root      1077  1065  0 Oct11 tty7     00:00:29 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root      1081     1  0 Oct11 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear tty1 linux
root      1087     1  0 Oct11 ?        00:03:53 /usr/sbin/automount --pid-file /var/run/autofs.pid
kernoops  1090     1  0 Oct11 ?        00:00:56 /usr/sbin/kerneloops --test
kernoops  1092     1  0 Oct11 ?        00:00:56 /usr/sbin/kerneloops
root      1102  1059  0 Nov07 ?        00:00:00 /usr/sbin/CRON -f
root      1120  1065  0 Oct11 ?        00:00:03 lightdm --session-child 16 19
root      1129     1  0 Oct11 ?        00:06:27 /usr/sbin/console-kit-daemon --no-daemon
lightdm   1202  1120  0 Oct11 ?        00:00:00 /bin/sh /usr/lib/lightdm/lightdm-greeter-session /usr/sbin/unity-greeter
lightdm   1207     1  0 Oct11 ?        00:00:04 /usr/bin/dbus-daemon --syslog --fork --print-pid 5 --print-address 7 --session
lightdm   1208  1202  0 Oct11 ?        00:01:02 /usr/sbin/unity-greeter
lightdm   1210     1  0 Oct11 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
lightdm   1215  1210  0 Oct11 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
lightdm   1220     1  0 Oct11 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
lightdm   1224     1  0 Oct11 ?        00:00:00 /usr/lib/gvfs/gvfsd
lightdm   1231     1  0 Oct11 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /var/lib/lightdm/.gvfs -f -o big_writes
lightdm   1242     1  0 Oct11 ?        00:00:00 /usr/lib/dconf/dconf-service
lightdm   1251     1  0 Oct11 ?        00:00:00 nm-applet
lightdm   1255     1  0 Oct11 ?        00:00:18 /usr/lib/unity-settings-daemon/unity-settings-daemon
root      1273     1  0 Oct11 ?        00:00:00 /usr/lib/upower/upowerd
colord    1280     1  0 Oct11 ?        00:00:00 /usr/lib/colord/colord
root      1290  1065  0 Oct11 ?        00:00:00 lightdm --session-child 15 20
lightdm   1295     1  0 Oct11 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
rtkit     1296     1  0 Oct11 ?        00:00:32 /usr/lib/rtkit/rtkit-daemon
lightdm   1299  1295  0 Oct11 ?        00:00:00 /usr/lib/i386-linux-gnu/pulse/gconf-helper
lightdm   1301     1  0 Oct11 ?        00:00:02 /usr/lib/i386-linux-gnu/gconf/gconfd-2
root      1316     2  0 Oct11 ?        00:00:00 [nfsiod]
root      1328     2  0 Oct11 ?        00:00:01 [NFSv4 callback]
root      1450  1061  0 10:42 ?        00:00:00 sshd: bg0284 [priv]
statd     1513     1  0 Oct11 ?        00:00:00 /sbin/rpc.statd --no-notify
root      1667   713  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      1668   713  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      1669  1668  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      1670  1667  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      1708   713  0 Nov12 ?        00:00:00 /usr/sbin/CRON -f
root      1709  1708  0 Nov12 ?        00:00:00 /usr/sbin/CRON -f
bg0284    1710  1450  0 10:42 ?        00:00:00 sshd: bg0284@pts/17
bg0284    1711  1710  0 10:42 pts/17   00:00:00 -bash
root      2186   713  0 Nov12 ?        00:00:00 /usr/sbin/CRON -f
root      2189  2186  0 Nov12 ?        00:00:00 /usr/sbin/CRON -f
root      2260   713  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      2261  2260  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      2302  1061  0 10:44 ?        00:00:00 sshd: zcj0008 [priv]
root      2370   713  0 Nov12 ?        00:00:00 /usr/sbin/CRON -f
root      2371  2370  0 Nov12 ?        00:00:00 /usr/sbin/CRON -f
zcj0008   2372  2302  0 10:44 ?        00:00:00 sshd: zcj0008@notty
zcj0008   2374  2372  0 10:44 ?        00:00:00 /usr/lib/openssh/sftp-server
root      2395   713  0 Nov11 ?        00:00:00 /usr/sbin/CRON -f
root      2603  2395  0 Nov11 ?        00:00:00 /usr/sbin/CRON -f
root      2698   713  0 Nov14 ?        00:00:00 /usr/sbin/CRON -f
root      2701  2698  0 Nov14 ?        00:00:00 /usr/sbin/CRON -f
root      2772   713  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      2773  2772  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      3001   713  0 Nov14 ?        00:00:00 /usr/sbin/CRON -f
root      3002   713  0 Nov14 ?        00:00:00 /usr/sbin/CRON -f
root      3003  3002  0 Nov14 ?        00:00:00 /usr/sbin/CRON -f
root      3004  3001  0 Nov14 ?        00:00:00 /usr/sbin/CRON -f
root      3150  1061  0 10:51 ?        00:00:00 sshd: nsg0055 [priv]
nsg0055   3213  3150  0 10:51 ?        00:00:00 sshd: nsg0055@pts/19
nsg0055   3214  3213  0 10:51 pts/19   00:00:00 -bash
root      3299   713  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      3301  3299  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      3375     2  0 Nov11 ?        00:01:44 [kworker/1:2H]
root      3382  1061  0 10:53 ?        00:00:00 sshd: tpa0016 [priv]
tpa0016   3454  3382  0 10:53 ?        00:00:00 sshd: tpa0016@notty
tpa0016   3456  3454  0 10:53 ?        00:00:00 /usr/lib/openssh/sftp-server
root      3719   713  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      3720  3719  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
jcf0192   3924 26892  0 10:56 pts/9    00:00:00 vim Lab9B.cpp
root      3979   713  0 Nov12 ?        00:00:00 /usr/sbin/CRON -f
root      3981  3979  0 Nov12 ?        00:00:00 /usr/sbin/CRON -f
root      4058   713  0 Nov10 ?        00:00:00 /usr/sbin/CRON -f
root      4111  1061  0 11:03 ?        00:00:00 sshd: bg0284 [priv]
root      4129  4058  0 Nov10 ?        00:00:00 /usr/sbin/CRON -f
bg0284    4177  4111  0 11:03 ?        00:00:00 sshd: bg0284@notty
bg0284    4178  4177  0 11:03 ?        00:00:00 /usr/lib/openssh/sftp-server
root      4300   713  0 11:09 ?        00:00:00 /usr/sbin/CRON -f
root      4301  4300  0 11:09 ?        00:00:00 /usr/sbin/CRON -f
root      4326   713  0 Nov12 ?        00:00:00 /usr/sbin/CRON -f
root      4327  4326  0 Nov12 ?        00:00:00 /usr/sbin/CRON -f
root      4349   713  0 Nov14 ?        00:00:00 /usr/sbin/CRON -f
root      4350  4349  0 Nov14 ?        00:00:00 /usr/sbin/CRON -f
root      4375     2  0 11:10 ?        00:00:00 [kworker/2:1]
root      4382   713  0 Nov12 ?        00:00:00 /usr/sbin/CRON -f
root      4384  4382  0 Nov12 ?        00:00:00 /usr/sbin/CRON -f
root      4686   713  0 11:17 ?        00:00:00 /usr/sbin/CRON -f
root      4687  4686  0 11:17 ?        00:00:00 /usr/sbin/CRON -f
root      4823   713  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      4825  4823  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      4870  1061  0 11:21 ?        00:00:00 sshd: nbj0014 [priv]
root      4901   713  0 Nov14 ?        00:00:00 /usr/sbin/CRON -f
root      4903  4901  0 Nov14 ?        00:00:00 /usr/sbin/CRON -f
nbj0014   4941  4870  0 11:21 ?        00:00:00 sshd: nbj0014@pts/0
nbj0014   4942  4941  0 11:21 pts/0    00:00:00 -bash
root      5022  1061  0 11:22 ?        00:00:00 sshd: sbf0044 [priv]
sbf0044   5092  5022  0 11:22 ?        00:00:00 sshd: sbf0044@pts/5
sbf0044   5095  5092  0 11:22 pts/5    00:00:00 -bash
root      5104   713  0 Nov12 ?        00:00:00 /usr/sbin/CRON -f
root      5105  5104  0 Nov12 ?        00:00:00 /usr/sbin/CRON -f
root      5152  1061  0 11:23 ?        00:00:00 sshd: fy0039 [priv]
fy0039    5222  5152  0 11:23 ?        00:00:00 sshd: fy0039@pts/16
fy0039    5223  5222  0 11:23 pts/16   00:00:00 -bash
root      5260   713  0 Nov09 ?        00:00:00 /usr/sbin/CRON -f
root      5292  1061  0 11:24 ?        00:00:00 sshd: mcs0288 [priv]
mcs0288   5354  5292  0 11:24 ?        00:00:00 sshd: mcs0288@pts/18
mcs0288   5355  5354  0 11:24 pts/18   00:00:00 -bash
root      5384  5260  0 Nov09 ?        00:00:00 /usr/sbin/CRON -f
root      5391  1061  0 11:24 ?        00:00:00 sshd: mlm0694 [priv]
mlm0694   5462  5391  0 11:25 ?        00:00:00 sshd: mlm0694@pts/21
mlm0694   5463  5462  0 11:25 pts/21   00:00:00 -bash
root      5528  1061  0 11:26 ?        00:00:00 sshd: djm0265 [priv]
root      5531  1061  0 11:26 ?        00:00:00 sshd: pk0289 [priv]
pk0289    5601  5531  0 11:26 ?        00:00:00 sshd: pk0289@notty
pk0289    5602  5601  0 11:26 ?        00:00:00 /usr/lib/openssh/sftp-server
djm0265   5674  5528  0 11:26 ?        00:00:00 sshd: djm0265@pts/23
djm0265   5675  5674  0 11:26 pts/23   00:00:00 -bash
root      5676     2  0 11:26 ?        00:00:00 [kworker/u6:2]
root      5683   713  0 Nov05 ?        00:00:00 /usr/sbin/CRON -f
root      5684  5683  0 Nov05 ?        00:00:00 /usr/sbin/CRON -f
root      5726  1061  0 11:27 ?        00:00:00 sshd: nkn0021 [priv]
nkn0021   5800  5726  0 11:27 ?        00:00:00 sshd: nkn0021@notty
nkn0021   5801  5800  0 11:27 ?        00:00:00 /usr/lib/openssh/sftp-server
root      5820  1061  0 11:27 ?        00:00:00 sshd: pk0289 [priv]
root      5824  1061  0 11:27 ?        00:00:00 sshd: geb0079 [priv]
geb0079   5882  5824  0 11:27 ?        00:00:00 sshd: geb0079@notty
geb0079   5883  5882  0 11:27 ?        00:00:00 /usr/lib/openssh/sftp-server
pk0289    5940  5820  0 11:27 ?        00:00:00 sshd: pk0289@pts/27
pk0289    5941  5940  0 11:27 pts/27   00:00:00 -bash
root      5978  1061  0 11:27 ?        00:00:00 sshd: geb0079 [priv]
geb0079   6042  5978  0 11:28 ?        00:00:00 sshd: geb0079@pts/28
root      6043   713  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      6044  6043  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
geb0079   6045  6042  0 11:28 pts/28   00:00:00 -bash
root      6100     2  0 11:28 ?        00:00:00 [kworker/1:0]
root      6102  1061  0 11:28 ?        00:00:00 sshd: geb0079 [priv]
geb0079   6161  6102  0 11:28 ?        00:00:00 sshd: geb0079@notty
geb0079   6163  6161  0 11:28 ?        00:00:00 /usr/lib/openssh/sftp-server
root      6165  1061  0 11:28 ?        00:00:00 sshd: nkn0021 [priv]
cjb0338   6170     1  0 Oct24 ?        00:00:00 nano carmain.cpp
nkn0021   6225  6165  0 11:28 ?        00:00:00 sshd: nkn0021@notty
nkn0021   6226  6225  0 11:28 ?        00:00:00 /usr/lib/openssh/sftp-server
root      6398  1061  0 11:31 ?        00:00:00 sshd: air0036 [priv]
root      6493   713  0 Nov12 ?        00:00:00 /usr/sbin/CRON -f
root      6495  6493  0 Nov12 ?        00:00:00 /usr/sbin/CRON -f
root      6496   713  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      6497   713  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      6498  6496  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      6499  6497  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      6504  1061  0 11:31 ?        00:00:00 sshd: jek0138 [priv]
jek0138   6575  6504  0 11:31 ?        00:00:00 sshd: jek0138@notty
jek0138   6576  6575  0 11:31 ?        00:00:00 /usr/lib/openssh/sftp-server
root      6591   713  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      6592  6591  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
air0036   6689  6398  0 11:32 ?        00:00:00 sshd: air0036@notty
air0036   6690  6689  0 11:32 ?        00:00:00 /usr/lib/openssh/sftp-server
root      6694  1061  0 11:32 ?        00:00:00 sshd: air0036 [priv]
root      6745   713  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      6746  6745  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
air0036   6757  6694  0 11:32 ?        00:00:00 sshd: air0036@notty
air0036   6758  6757  0 11:32 ?        00:00:00 /usr/lib/openssh/sftp-server
root      6776  1061  0 11:32 ?        00:00:00 sshd: nkn0021 [priv]
root      6781     2  0 11:32 ?        00:00:00 [kworker/u6:3]
nkn0021   6844  6776  0 11:32 ?        00:00:00 sshd: nkn0021@pts/3
nkn0021   6845  6844  0 11:32 pts/3    00:00:00 -bash
root      6868  1061  0 11:33 ?        00:00:00 sshd: djm0265 [priv]
root      6895   713  0 Nov14 ?        00:00:00 /usr/sbin/CRON -f
root      6897  6895  0 Nov14 ?        00:00:00 /usr/sbin/CRON -f
djm0265   6929  6868  0 11:33 ?        00:00:00 sshd: djm0265@notty
djm0265   6930  6929  0 11:33 ?        00:00:00 /usr/lib/openssh/sftp-server
root      6939  1061  0 11:33 ?        00:00:00 sshd: nkn0021 [priv]
root      6943  1061  0 11:33 ?        00:00:00 sshd: pk0289 [priv]
pk0289    7002  6943  0 11:33 ?        00:00:00 sshd: pk0289@notty
pk0289    7003  7002  0 11:33 ?        00:00:00 /usr/lib/openssh/sftp-server
nkn0021   7078  6939  0 11:33 ?        00:00:00 sshd: nkn0021@pts/30
nkn0021   7079  7078  0 11:33 pts/30   00:00:00 -bash
root      7115  1061  0 11:34 ?        00:00:00 sshd: afm0089 [priv]
root      7133     2  0 11:34 ?        00:00:00 [kworker/1:1]
wag0041   7182     1  0 Nov08 ?        00:00:00 sort
wag0041   7183     1  0 Nov08 ?        00:00:00 wc
afm0089   7194  7115  0 11:34 ?        00:00:00 sshd: afm0089@pts/7
afm0089   7195  7194  0 11:34 pts/7    00:00:00 -bash
root      7240  1061  0 11:34 ?        00:00:00 sshd: afm0089 [priv]
root      7297   713  0 Nov14 ?        00:00:00 /usr/sbin/CRON -f
root      7298  7297  0 Nov14 ?        00:00:00 /usr/sbin/CRON -f
afm0089   7303  7240  0 11:34 ?        00:00:00 sshd: afm0089@notty
afm0089   7304  7303  0 11:34 ?        00:00:00 /usr/lib/openssh/sftp-server
djm0265   7314  5675  0 11:34 pts/23   00:00:00 script rec09
djm0265   7315  7314  0 11:34 pts/10   00:00:00 bash -i
root      7356  1061  0 11:35 ?        00:00:00 sshd: afm0089 [priv]
root      7378  1061  0 Nov12 ?        00:00:00 sshd: yl0340 [priv]
afm0089   7415  7356  0 11:35 ?        00:00:00 sshd: afm0089@notty
